Source,Kepid,KepoiName,KeplerName,GradientBoosting,RandomForest,AdaBoost,XGBoost,LightGBM,Actual,gif,nasa_url,educational_summary
KOI,3118797,K01950.01,Kepler-1024 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/3118797.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1024_b,"A warm sub-Neptune (~2.0× Earth) orbiting every ~37.32 days around a Sun-like star (~6089 K) ~2,681 light-years away. Validated from Kepler transits in 2016, it demonstrates how mid-size planets persist at modest flux levels. It’s well suited for discussing mass–radius–density inferences once radial-velocity limits are available."
KOI,4254466,K02134.01,Kepler-1113 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/4254466.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1113_b,"A companion Neptune-to-sub-Saturn (~7.5× Earth) sharing the system, also on a ~224.78-day orbit in the reported solution. Confirmed from Kepler data, it provides a platform for system-level comparisons—how similar-sized planets around the same star can probe irradiation, eccentricity constraints, and potential dynamical histories."
KOI,4914423,K00108.02,Kepler-103 c,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/4914423.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-103_c,"A warm sub-Neptune (~3.44× Earth) on a ~15.97-day orbit (a≈0.128 AU; low eccentricity) around a slightly evolved, larger-than-Sun star. Confirmed with imaging and spectroscopy, then Doppler (2014), it’s an excellent case for discussing orbital eccentricity constraints, host-star radius effects on transit depth, and comparative planetology with its sibling in the system."
KOI,6041734,K02167.01,Kepler-1129 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/6041734.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1129_b,"Details for this target were not accessible in the provided record. It likely exists in the archives under KOI/KIC aliases, but parameters were unavailable. This makes a useful teaching example about literature gaps, versioning of public catalogs, and the importance of reproducible identifiers when aggregating multi-source datasets."
KOI,6047072,K02103.01,Kepler-1095 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/6047072.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1095_b,"A near-Earth-size world (~1.21× Earth) with a ~4.271-day period around a Sun-like star. Discovered by Kepler and validated in 2016, it probes the rocky regime near the radius valley. Frequent transits support precise ephemerides and classroom exercises on transit geometry and stellar-radius systematics."
KOI,6541920,K00157.06,Kepler-11 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/6541920.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-11_b,"A hot super-Earth (~1.6× Earth) with a ~1.253-day year ~3,672 light-years away. Discovered via Kepler transits (2016), it typifies USPs at the rocky/mini-Neptune boundary. The intense irradiation and likely tidal locking make it a strong case for discussing radius-valley demographics and mass-loss mechanisms."
KOI,6665512,K02005.01,Kepler-1048 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/6665512.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1048_b,"A small super-Earth (~1.61× Earth) circling a cool K-dwarf (~4651 K) every ~6.921 days at ~1,843 light-years. Kepler discovered and validated it in 2016. Its shallow yet frequent transits are ideal for illustrating precision photometry, while its size probes the rocky–volatile boundary near the radius valley."
KOI,7045496,K01939.01,Kepler-1021 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/7045496.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1021_b,"A larger sub-Neptune (~3.9× Earth) with a ~66.42-day year in a system ~3,652 light-years distant. Identified by Kepler transits (2016), it extends Kepler’s reach to cooler, somewhat longer-period worlds. Its size and period enable comparisons of equilibrium temperature, albedo assumptions, and atmospheric retention across the sub-Neptune regime."
KOI,7094486,K01907.01,Kepler-1009 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/7094486.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1009_b,"A sub-Neptune (~2.2× Earth) orbiting a cool star ~1,169 light-years away every ~11.35 days. Found by Kepler transits and validated in 2016, it typifies the abundant mid-size planets missing from our Solar System. The moderate period provides frequent transits for stacking while keeping irradiation high enough to discuss radius-valley physics and atmospheric escape."
KOI,7449541,K02063.01,Kepler-1078 b,CONFIRMED,CONFIRMED,CONFIRMED,CANDIDATE,CANDIDATE,CONFIRMED,https://detwet.com/gifs/koi/7449541.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1078_b,"A warm sub-Neptune in a four-planet system, with radius ~3.5× Earth and period ~14.75 days (a≈0.124 AU; low eccentricity). Confirmed with imaging and Doppler work, it’s a textbook example for comparing planets within one system. Students can examine how stellar properties and orbital distance shape equilibrium temperature and potential atmospheric retention."
KOI,7620413,K02103.01,Kepler-1098 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/7620413.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1098_b,"A compact super-Earth (~1.30× Earth) orbiting every ~2.543 days around a Sun-like star ~3,527 light-years distant. Kepler validation in 2016 makes it a solid example of short-period rocky planets. Its size and period suit comparisons of equilibrium temperatures and potential atmospheric escape timescales."
KOI,7918992,K02095.01,Kepler-1091 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,https://detwet.com/gifs/koi/7918992.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1091_b,"A super-Earth (~1.46× Earth) on a ~1.435-day orbit around a Sun-like star ~3,061 light-years away. Kepler transit validation (2016) places it among the abundant short-period small planets. Its rapid cadence and shallow transits make it ideal for demonstrating phase folding and signal-to-noise improvement with √N events."
