kepid,kepler_name,gradient boosting,randomforest,xgboost,lightgbm,actual,koi_score,gif,nasa_url,educational_summary
1849702,Kepler-1854 b,CONFIRMED,CONFIRMED,CONFIRMED,CANDIDATE,CONFIRMED,1,https://detwet.com/gifs/1849702.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1854_b,"A warm mini-Neptune (~2.59× Earth; ~7.2 Earth masses) with a ~39.8-day year around a cool star, at ~1,380 light-years away. Its low eccentricity and moderate equilibrium temperature (~420 K) make it a good example of temperate, close-in sub-Neptunes. It's ideal for lessons on radius valley demographics, atmospheric escape thresholds, and how density constrains volatile-rich envelopes."
3103227,Kepler-1550 b,CANDIDATE,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,0.958,https://detwet.com/gifs/3103227.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1550_b,"A cool sub-Neptune (~3.0× Earth) with a comparatively long period (~226 days) for a Kepler find. Its longer year hints at a more temperate orbit compared with the ultra-short-period hot worlds frequently seen by Kepler. Fewer transits demand longer baselines to confirm signals, illustrating survey biases and why long-period planets are undercounted in transit datasets."
3234843,Kepler-405 c,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,1,https://detwet.com/gifs/3234843.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-405_c,"A larger sub-Neptune (uncertain size estimates) with a ~29.73-day period around a Sun-like star ~4,900 light-years away. Despite broad radius uncertainties, its regular transits exemplify Kepler's ability to find periodic dimmings from distant worlds. It's a natural case to discuss error bars, impact parameter, and limb darkening's role in modeling."
3847138,Kepler-556 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,1,https://detwet.com/gifs/3847138.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-556_b,"A sub-Neptune (~2.24× Earth) with an ~11.72-day year around a Sun-like star ~2,240 light-years away. As a validated Kepler planet, it contributes to the statistical picture that close-in, mid-size worlds are common in the galaxy. Its properties support discussions on the radius valley and stellar flux as a driver of atmospheric loss."
3942670,Kepler-147 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,1,https://detwet.com/gifs/3942670.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-147_b,"A larger sub-Neptune (~2.5× Earth) with a ~33.4-day orbit around a near-Sun twin. Identified by Kepler and later validated statistically, it illustrates how mid-size planets can reside slightly farther out yet still complete quick years. The longer period broadens teaching examples beyond ultra-short orbits, inviting comparisons of incident flux, equilibrium temperature, and potential atmospheric retention."
4548098,Kepler-1982 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.998,https://detwet.com/gifs/4548098.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1982_b,"A very small, hot world (~0.86× Earth radius; ~0.38 Earth masses) on a tight ~3.82-day orbit around a slightly hotter-than-Sun star. Its size near Earth's makes it a compelling example of how Kepler uncovered truly Earth-scale planets in very short orbits. Frequent, shallow transits demonstrate high-precision photometry, while extreme irradiation raises questions about atmospheric erosion and tidal locking."
5175024,Kepler-1279 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.993,https://detwet.com/gifs/5175024.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1279_b,"A warm super-Earth/mini-Neptune (~1.7× Earth) with a ~23.48-day year around a slightly hotter-than-Sun star. Found by Kepler's transit method, it highlights how planetary sizes between Earth and Neptune dominate exoplanet catalogs. Its moderate period is long enough to temper irradiation yet short enough for repeated transits, making it a useful case for phase-folding exercises and equilibrium temperature estimations in class."
5780885,Kepler-7 b,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,FALSE POSITIVE,CONFIRMED,0.999,https://detwet.com/gifs/5780885.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-7_b,"A classic hot Jupiter (~1.62× Jupiter's radius, ~0.44 Jupiter masses) orbiting every ~4.89 days—one of Kepler's early marquee finds. Its puffy, low-density nature and high equilibrium temperature (~1,490 K) make it a textbook example of a highly irradiated gas giant. It's widely used to illustrate atmospheric inflation, albedo questions, and migration theories."
6343170,Kepler-1230 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,0.998,https://detwet.com/gifs/6343170.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-1230_b,"A sub-Neptune (~2.7× Earth) orbiting every ~10 days around a Sun-like star ~4,600 light-years away. Detected by Kepler transits and validated in 2016, it represents the common, intermediate-size planets largely missing from our own Solar System. Regular transits enable precise radius estimates, while follow-up for mass can unlock density and interior composition—key to understanding formation pathways unlike those shaping terrestrial planets here."
6392727,Kepler-703 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,1,https://detwet.com/gifs/6392727.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-703_b,"A giant planet (~8.2× Earth radius) with a short ~4.58-day orbit around a hotter-than-Sun star. Its size places it in the hot-Jupiter/mini-Jupiter regime, showcasing the diversity of close-in gas-rich planets Kepler uncovered. The deep transit depth aids detection, enabling teaching on secondary eclipses and phase curves for thermal emission."
